candidate_id,rank,score,reasoning
CAND_0018499,1,0.7297946432795557,"Senior Machine Learning Engineer with 7.2 years of relevant experience. Profile demonstrates excellent title alignment, strong required skill coverage, useful preferred skills, product engineering experience, high recruiter availability. Profile demonstrates a solid foundation for success in this position."
CAND_0008425,2,0.7196580917605084,"Senior NLP Engineer with 7.8 years of relevant experience. Profile demonstrates excellent title alignment, strong required skill coverage, useful preferred skills, product engineering experience, high recruiter availability. Overall profile shows strong alignment with the target role."
CAND_0081846,3,0.7098665485159709,"Lead AI Engineer with 6.7 years of relevant experience. Profile demonstrates excellent title alignment, strong required skill coverage, high recruiter availability. Profile appears well-positioned for further recruiter evaluation."
CAND_0088025,4,0.7057392118240785,"Staff Machine Learning Engineer with 8.6 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, product engineering experience, high recruiter availability. Overall profile shows strong alignment with the target role."
CAND_0077337,5,0.6938127239431939,"Staff Machine Learning Engineer with 7.0 years of relevant experience. Profile demonstrates excellent title alignment, strong required skill coverage, product engineering experience, high recruiter availability. Candidate presents a balanced combination of technical and professional strengths."
CAND_0064326,6,0.6915369076285589,"Search Engineer with 7.6 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, product engineering experience, high recruiter availability. Profile appears well-positioned for further recruiter evaluation."
CAND_0070398,7,0.6904808578250929,"Machine Learning Engineer with 7.2 years of relevant experience. Profile demonstrates excellent title alignment, strong required skill coverage, useful preferred skills, product engineering experience. Overall assessment suggests a competitive fit for the role."
CAND_0030031,8,0.6844227906826524,"AI Engineer with 5.7 years of relevant experience. Profile demonstrates excellent title alignment, strong required skill coverage, useful preferred skills, product engineering experience, excellent profile integrity. Profile appears well-positioned for further recruiter evaluation."
CAND_0027691,9,0.68390866139016,"NLP Engineer with 6.5 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, product engineering experience, high recruiter availability. Profile appears well-positioned for further recruiter evaluation."
CAND_0071974,10,0.6836498481553133,"Senior AI Engineer with 7.8 years of relevant experience. Profile demonstrates excellent title alignment, strong required skill coverage, useful preferred skills, high recruiter availability. Minor consideration: 1 JD compatibility flag(s). Profile demonstrates a solid foundation for success in this position."
CAND_0079387,11,0.6738593775114665,"AI Engineer with 6.9 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, product engineering experience, high recruiter availability. Candidate presents a balanced combination of technical and professional strengths."
CAND_0069905,12,0.6718372065037522,"Applied ML Engineer with 6.6 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, product engineering experience, high recruiter availability. Overall profile shows strong alignment with the target role."
CAND_0028793,13,0.6690974538462311,"Search Engineer with 7.2 years of relevant experience. Profile demonstrates excellent title alignment, useful preferred skills. Overall assessment suggests a competitive fit for the role."
CAND_0049538,14,0.6684989382337198,"Applied ML Engineer with 5.8 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, product engineering experience, excellent profile integrity. Overall assessment suggests a competitive fit for the role."
CAND_0074735,15,0.6614646002500738,"Applied ML Engineer with 5.5 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, product engineering experience, high recruiter availability, excellent profile integrity. Overall profile shows strong alignment with the target role."
CAND_0046525,16,0.66075331634847,"Senior Machine Learning Engineer with 6.1 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, high recruiter availability. Overall profile shows strong alignment with the target role."
CAND_0007009,17,0.6586939334743439,"Recommendation Systems Engineer with 7.9 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, high recruiter availability. Profile demonstrates a solid foundation for success in this position."
CAND_0006418,18,0.6582714974128173,"Machine Learning Engineer with 5.7 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, high recruiter availability. Overall assessment suggests a competitive fit for the role."
CAND_0030953,19,0.6577080863564573,"Search Engineer with 7.8 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, product engineering experience. Overall assessment suggests a competitive fit for the role."
CAND_0046064,20,0.6573911628008597,"Senior NLP Engineer with 8.9 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, product engineering experience, high recruiter availability. Profile demonstrates a solid foundation for success in this position."
CAND_0052682,21,0.6562403415484802,"NLP Engineer with 6.6 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, high recruiter availability. Candidate presents a balanced combination of technical and professional strengths."
CAND_0055905,22,0.6537461563882083,"Senior Machine Learning Engineer with 8.1 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, product engineering experience, high recruiter availability. Overall profile shows strong alignment with the target role."
CAND_0091909,23,0.6531565153194322,"Machine Learning Engineer with 6.9 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills. Profile demonstrates a solid foundation for success in this position."
CAND_0083307,24,0.6530280749135106,"Search Engineer with 7.8 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills, product engineering experience. Candidate presents a balanced combination of technical and professional strengths."
CAND_0006567,25,0.6503112250170967,"Senior AI Engineer with 7.9 years of relevant experience. Profile demonstrates excellent title alignment, high recruiter availability. Candidate presents a balanced combination of technical and professional strengths."
CAND_0066376,26,0.6495294809425002,"Applied ML Engineer with 5.7 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, useful preferred skills. Profile appears well-positioned for further recruiter evaluation."
CAND_0011687,27,0.6484796554989569,"Senior NLP Engineer with 7.8 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, high recruiter availability. Candidate presents a balanced combination of technical and professional strengths."
CAND_0027801,28,0.6481230191567867,"NLP Engineer with 7.4 years of relevant experience. Profile demonstrates excellent title alignment, useful preferred skills, product engineering experience. Profile appears well-positioned for further recruiter evaluation."
CAND_0080766,29,0.6477044784607954,"Staff Machine Learning Engineer with 8.8 years of relevant experience. Profile demonstrates excellent title alignment, useful preferred skills, product engineering experience. Profile appears well-positioned for further recruiter evaluation."
CAND_0058688,30,0.647265633033825,"AI Engineer with 6.7 years of relevant experience. Profile demonstrates excellent title alignment, good required skill coverage, high recruiter availability. Overall assessment suggests a competitive fit for the role."
